datetime_local,azimuth_deg,elevation_deg,pitch_deg,roll_deg
2025-08-09 09:46:00-05:00,245.4734537496655,48.93996365171929,-15.823086703731432,-38.39771597656352
2025-08-09 09:48:00-05:00,245.2308812211555,49.39458599766166,-15.82381753273969,-37.89725785286282
2025-08-09 09:50:00-05:00,244.98212124160176,49.8483122198559,-15.824535688784476,-37.396796921692776
2025-08-09 09:52:00-05:00,244.7269797081329,50.301110715287535,-15.825241086170744,-36.89633321465648
2025-08-09 09:54:00-05:00,244.4652546490633,50.75294850301363,-15.825933640171863,-36.39586676358146
2025-08-09 09:56:00-05:00,244.19673586952595,51.20379115162611,-15.826613266907255,-35.895397600500175
2025-08-09 09:58:00-05:00,243.9212045801508,51.65360270211188,-15.82727988388924,-35.394925757716436
2025-08-09 10:00:00-05:00,243.638433011181,52.102345586785376,-15.827933409210655,-34.89445126769883
2025-08-09 10:02:00-05:00,243.3481840076937,52.5499805427415,-15.828573762101955,-34.39397416314773
2025-08-09 10:04:00-05:00,243.05021060843887,52.99646652048195,-15.829200862794803,-33.89349447697527
2025-08-09 10:06:00-05:00,242.7442556069451,53.44176058707487,-15.829814632397959,-33.39301224228535
2025-08-09 10:08:00-05:00,242.4300510936405,53.88581782317927,-15.830414993440227,-32.89252749244036
2025-08-09 10:10:00-05:00,242.10731798175016,54.32859121457465,-15.831001869068228,-32.39204026095459
2025-08-09 10:12:00-05:00,241.77576551294237,54.770031536490855,-15.83157518359208,-31.891550581560807
2025-08-09 10:14:00-05:00,241.43509074574823,55.210087231341596,-15.832134862354229,-31.391058488190243
2025-08-09 10:16:00-05:00,241.0849780257846,55.64870427904719,-15.832680831738923,-30.89056401496996
2025-08-09 10:18:00-05:00,240.72509843863298,56.08582605965891,-15.833213019038364,-30.39006719620248
2025-08-09 10:20:00-05:00,240.35510924477433,56.52139320739478,-15.833731353003376,-29.8895680664329
2025-08-09 10:22:00-05:00,239.97465330065637,56.95534345670477,-15.834235763035078,-29.389066660341772
2025-08-09 10:24:00-05:00,239.5833584630417,57.38761147844316,-15.834726179730838,-28.888563012811588
2025-08-09 10:26:00-05:00,239.18083698141928,57.81812870672408,-15.835202534755213,-28.388057158906744
2025-08-09 10:28:00-05:00,238.76668487939935,58.246823155523145,-15.835664760846921,-27.887549133870984
2025-08-09 10:30:00-05:00,238.3404813282225,58.673619224661,-15.836112791685409,-27.3870389731065
2025-08-09 10:32:00-05:00,237.90178801441527,59.09843749417665,-15.836546562438308,-26.886526712241395
2025-08-09 10:34:00-05:00,237.45014850889038,59.52119450773822,-15.836966008958253,-26.38601238702203
2025-08-09 10:36:00-05:00,236.98508763814976,59.94180254304075,-15.83737106832282,-25.885496033379717
2025-08-09 10:38:00-05:00,236.50611086668636,60.36016936984973,-15.837761678707487,-25.384977687410515
2025-08-09 10:40:00-05:00,236.0127036965868,60.77619799485562,-15.838137779256474,-24.88445738535499
2025-08-09 10:42:00-05:00,235.5043310915699,61.18978639250227,-15.838499310624897,-24.383935163664454
2025-08-09 10:44:00-05:00,234.9804369385807,61.600827222660186,-15.838846214174998,-23.883411058894225
2025-08-09 10:46:00-05:00,234.4404435540519,62.00920753321722,-15.83917843252098,-23.38288510776985
2025-08-09 10:48:00-05:00,233.88375125156128,62.41480844863362,-15.839495909393843,-22.882357347166604
2025-08-09 10:50:00-05:00,233.30973798510456,62.81750484389777,-15.839798589655393,-22.381827814107144
2025-08-09 10:52:00-05:00,232.71775908648664,63.21716500417074,-15.840086419155098,-21.88129654574022
2025-08-09 10:54:00-05:00,232.1071471160838,63.61365026984266,-15.840359345285886,-21.38076357940765
2025-08-09 10:56:00-05:00,231.4772118541479,64.00681466888823,-15.840617316171025,-20.880228952537443
2025-08-09 10:58:00-05:00,230.82724045507783,64.3965045355321,-15.840860281208592,-20.379692702709015
2025-08-09 11:00:00-05:00,230.15649779869116,64.78255811770171,-15.841088190946085,-19.879154867634096
2025-08-09 11:02:00-05:00,229.46422707196274,65.16480517439767,-15.8413009969393,-19.37861548513534
2025-08-09 11:04:00-05:00,228.74965061879755,65.54306656449714,-15.841498652306793,-18.878074593213075
2025-08-09 11:06:00-05:00,228.01197110460868,65.91715383103018,-15.841681110916673,-18.377532229938204
2025-08-09 11:08:00-05:00,227.25037303899276,66.2868687822386,-15.84184832793038,-17.87698843351782
2025-08-09 11:10:00-05:00,226.46402471266046,66.65200307481761,-15.842000259676949,-17.376443242275798
2025-08-09 11:12:00-05:00,225.65208060475584,67.01233780361471,-15.842136863647442,-16.87589669464829
2025-08-09 11:14:00-05:00,224.81368432304052,67.36764310375574,-15.842258098369078,-16.375348829164356
2025-08-09 11:16:00-05:00,223.94797214186949,67.71767777146606,-15.842363923951313,-15.87479968451199
2025-08-09 11:18:00-05:00,223.0540772111812,68.06218891322888,-15.842454301270985,-15.374249299430273
2025-08-09 11:20:00-05:00,222.13113450420005,68.40091163060109,-15.842529192517953,-14.873697712775952
2025-08-09 11:22:00-05:00,221.17828658064596,68.73356875307465,-15.842588561069356,-14.373144963503284
2025-08-09 11:24:00-05:00,220.1946902365924,69.0598706307412,-15.842632371482955,-13.872591090659819
2025-08-09 11:26:00-05:00,219.17952411041475,69.37951500090334,-15.84266058937108,-13.372036133367173
2025-08-09 11:28:00-05:00,218.13199730596747,69.6921869435516,-15.842673181943416,-12.8714801308859
2025-08-09 11:30:00-05:00,217.05135908805468,69.9975589445664,-15.84267011719239,-12.37092312250885
2025-08-09 11:32:00-05:00,215.93690968222262,70.29529108307409,-15.842651364446924,-11.870365147627503
2025-08-09 11:34:00-05:00,214.78801219771063,70.58503136468659,-15.842616894229312,-11.369806245710576
2025-08-09 11:36:00-05:00,213.60410566060278,70.86641622111587,-15.8425666781286,-10.86924645628446
2025-08-09 11:38:00-05:00,212.3847191102065,71.13907119728422,-15.842500689343117,-10.368685818998456
2025-08-09 11:40:00-05:00,211.12948667386658,71.40261184951086,-15.842418901865368,-9.86812437351754
2025-08-09 11:42:00-05:00,209.83816347916846,71.65664487351006,-15.842321291035615,-9.367562159589115
2025-08-09 11:44:00-05:00,208.5106422130275,71.9007694836236,-15.842207833396332,-8.86699921702175
2025-08-09 11:46:00-05:00,207.1469700700148,72.13457905952104,-15.842078506703926,-8.366435585681986
2025-08-09 11:48:00-05:00,205.7473657665129,72.35766307378157,-15.841933289790639,-7.865871305474164
2025-08-09 11:50:00-05:00,204.31223622639897,72.56960930748727,-15.84177216310676,-7.3653064164055335
2025-08-09 11:52:00-05:00,202.84219247915786,72.77000635697641,-15.841595107913376,-6.864740958479801
2025-08-09 11:54:00-05:00,201.33806424361148,72.95844642229046,-15.841402106821631,-6.364174971762794
2025-08-09 11:56:00-05:00,199.80091262488486,73.13452836274367,-15.841193143660043,-5.863608496361776
2025-08-09 11:58:00-05:00,198.23204031491875,73.29786099163354,-15.840968203479633,-5.36304157242247
2025-08-09 12:00:00-05:00,196.63299867730134,73.44806657153673,-15.840727272410756,-4.862474240107779
2025-08-09 12:02:00-05:00,195.00559111469738,73.58478445851698,-15.84047033821522,-4.361906539664203
2025-08-09 12:04:00-05:00,193.35187217136877,73.70767483465707,-15.840197389469816,-3.8613385113145124
2025-08-09 12:06:00-05:00,191.67414190940298,73.81642245273909,-15.839908416108369,-3.36077019532375
2025-08-09 12:08:00-05:00,189.97493522770034,73.91074031248377,-15.839603409290469,-2.8602016319781276
2025-08-09 12:10:00-05:00,188.2570059533422,73.99037317853322,-15.839282361262567,-2.359632861565266
2025-08-09 12:12:00-05:00,186.5233057275538,74.05510084705291,-15.838945265904838,-1.859063924438944
2025-08-09 12:14:00-05:00,184.7769579210468,74.10474107124547,-15.838592117914336,-1.358494860912825
2025-08-09 12:16:00-05:00,183.02122703279485,74.13915205622526,-15.838222913351618,-0.857925711326107
2025-08-09 12:18:00-05:00,181.25948424033172,74.15823444788761,-15.837837649501362,-0.3573565160224443
2025-08-09 12:20:00-05:00,179.49516996007833,74.16193275107219,-15.837436324876393,0.143212684652832
2025-08-09 12:22:00-05:00,177.73175443018647,74.15023613061592,-15.837018939080417,0.6437818503734405
2025-08-09 12:24:00-05:00,175.97269743322238,74.1231785676973,-15.836585493348798,1.1443509407671089
2025-08-09 12:26:00-05:00,174.221408320426,74.0808383682126,-15.836135989738935,1.6449199155211882
2025-08-09 12:28:00-05:00,172.4812074856527,74.02333703703627,-15.835670431667863,2.145488734318364
2025-08-09 12:30:00-05:00,170.75529035757802,73.95083755754743,-15.83518882378098,2.6460573568562498
2025-08-09 12:32:00-05:00,169.04669484865963,73.86354213174756,-15.834691171811514,3.146625742868479
2025-08-09 12:34:00-05:00,167.35827302515156,73.7616894516951,-15.834177483126458,3.647193852059003
2025-08-09 12:36:00-05:00,165.69266755491753,73.645551587052,-15.833647765911184,4.147761644208644
2025-08-09 12:38:00-05:00,164.0522932763604,73.51543057606158,-15.833102029707462,4.648329079109629
2025-08-09 12:40:00-05:00,162.43932400895176,73.37165481452939,-15.832540285284258,5.148896116586367
2025-08-09 12:42:00-05:00,160.85568452570715,73.21457533323351,-15.831962544630352,5.649462716498328
2025-08-09 12:44:00-05:00,159.30304742905093,73.04456205011716,-15.831368820822009,6.150028838761099
2025-08-09 12:46:00-05:00,157.7828345284811,72.86200007469783,-15.830759128562939,6.650594443280429
2025-08-09 12:48:00-05:00,156.29622220614658,72.66728613452017,-15.830133483367762,7.151159490058931
2025-08-09 12:50:00-05:00,154.84415019426376,72.46082517781835,-15.829491902107241,7.6517239391308305
2025-08-09 12:52:00-05:00,153.42733314647205,72.24302719882368,-15.828834402866816,8.152287750581936
2025-08-09 12:54:00-05:00,152.04627438725026,72.01430431770595,-15.82816100494903,8.652850884553487
2025-08-09 12:56:00-05:00,150.70128124527037,71.77506813691188,-15.827471728735086,9.153413301262395
2025-08-09 12:58:00-05:00,149.39248142225608,71.52572738460547,-15.826766596223514,9.653974960935633
2025-08-09 13:00:00-05:00,148.11983990092983,71.26668584935592,-15.826045630219836,10.154535823916998
2025-08-09 13:02:00-05:00,146.88317597071347,70.99834059902656,-15.825308854869595,10.655095850601567
2025-08-09 13:04:00-05:00,145.6821800100496,70.7210804746882,-15.82455629553166,11.155655001455537
2025-08-09 13:06:00-05:00,144.51642973813102,70.43528484373564,-15.823787978628452,11.656213237037763
2025-08-09 13:08:00-05:00,143.38540571444753,70.1413225932079,-15.823003932195565,12.156770517933388
2025-08-09 13:10:00-05:00,142.2885059184391,69.83955134429843,-15.82220418506448,12.657326804860412
2025-08-09 13:12:00-05:00,141.22505930435938,69.53031686449114,-15.82138876739611,13.157882058604612
2025-08-09 13:14:00-05:00,140.19433826196303,69.21395265697399,-15.820557710552258,13.658436240039343
2025-08-09 13:16:00-05:00,139.19556995726418,68.89077970531721,-15.819711047085915,14.158989310129243
2025-08-09 13:18:00-05:00,138.22794655604298,68.56110635301243,-15.818848810607658,14.659541229950145
2025-08-09 13:20:00-05:00,137.29063435889054,68.22522829800664,-15.817971036323804,15.16009196062414
2025-08-09 13:22:00-05:00,136.38278188850342,67.88342868561219,-15.817077760218556,15.660641463425609
2025-08-09 13:24:00-05:00,135.5035269928668,67.53597828168925,-15.816169019597112,16.161189699715216
2025-08-09 13:26:00-05:00,134.65200302625283,67.18313571268948,-15.815244852943763,16.661736630961187
2025-08-09 13:28:00-05:00,133.82734418098255,66.82514775890547,-15.814305299920335,17.16228221874171
2025-08-09 13:30:00-05:00,133.02869004257548,66.4622496895328,-15.813350401228602,17.66282642476528
2025-08-09 13:32:00-05:00,132.2551894430137,66.09466562900897,-15.8123801991487,18.163369210805865
2025-08-09 13:34:00-05:00,131.506003678993,65.72260894706831,-15.81139473672032,18.66391053880828
2025-08-09 13:36:00-05:00,130.78030916894807,65.34628266353417,-15.810394058285874,19.164450370823086
2025-08-09 13:38:00-05:00,130.07729960869375,64.96587986270946,-15.809378209346802,19.664988669026535
2025-08-09 13:40:00-05:00,129.39618768687683,64.5815841116804,-15.80834723642865,20.165525395741007
2025-08-09 13:42:00-05:00,128.736206416603,64.19356987784145,-15.807301187618016,20.66606051336956
2025-08-09 13:44:00-05:00,128.0966101293178,63.80200294308184,-15.80624011174364,21.166593984501816
2025-08-09 13:46:00-05:00,127.47667518199034,63.40704081038153,-15.805164058918878,21.66712577184816
2025-08-09 13:48:00-05:00,126.87570041431616,63.00883310156836,-15.804073080398453,22.16765583826032
2025-08-09 13:50:00-05:00,126.29300739419426,62.607521944046894,-15.802967228576,22.668184146734234
2025-08-09 13:52:00-05:00,125.72794048341001,62.203242345296886,-15.801846556846249,23.168710660430072
2025-08-09 13:54:00-05:00,125.17986675381297,61.79612255382695,-15.800711120139537,23.669235342607006
2025-08-09 13:56:00-05:00,124.64817577528925,61.38628440681394,-15.799560974107525,24.169758156728683
2025-08-09 13:58:00-05:00,124.1322793029151,60.97384366284763,-15.798396175660296,24.67027906639753
2025-08-09 14:00:00-05:00,123.63161087856537,60.55891032049253,-15.797216782822277,25.17079803537543
2025-08-09 14:02:00-05:00,123.1456253650556,60.14158892234321,-15.79602285460096,25.671315027603132
2025-08-09 14:04:00-05:00,122.67379842844076,59.72197884445947,-15.794814451516158,26.171830007135256
2025-08-09 14:06:00-05:00,122.2156259771159,59.30017457220296,-15.793591634784825,26.67234293824545
2025-08-09 14:08:00-05:00,121.7706235733952,58.87626596174407,-15.792354466863067,27.17285378536081
2025-08-09 14:10:00-05:00,121.33832582275437,58.450338488439975,-15.791103011295595,27.67336251308228
2025-08-09 14:12:00-05:00,120.91828574998158,58.02247348218833,-15.789837332723605,28.173869086186947
2025-08-09 14:14:00-05:00,120.51007416809614,57.59274835035469,-15.788557496731631,28.674373469648604
2025-08-09 14:16:00-05:00,120.11327904694639,57.16123678847877,-15.787263570394105,29.174875628571883
2025-08-09 14:18:00-05:00,119.72750488228633,56.72800897997895,-15.785955621454875,29.675375528296897
2025-08-09 14:20:00-05:00,119.3523720738462,56.29313178444487,-15.784633718858482,30.175873134335056
2025-08-09 14:22:00-05:00,118.9875163117971,55.85666891572944,-15.783297932615813,30.67636841238799
2025-08-09 14:24:00-05:00,118.63258797543415,55.41868111008042,-15.781948333797532,31.1768613283501
