datetime_local,azimuth_deg,elevation_deg,roll_deg,pitch_deg
2025-08-11 06:00:00-05:00,33.63314835494302,-72.00202149022749,,
2025-08-11 06:10:00-05:00,39.547680398071236,-70.51112222692245,,
2025-08-11 06:20:00-05:00,44.55681383124332,-68.83616349934172,,
2025-08-11 06:30:00-05:00,48.784267663277774,-67.01740280637253,,
2025-08-11 06:40:00-05:00,52.35575239053151,-65.0863701821186,,
2025-08-11 06:50:00-05:00,55.38425606566247,-63.067265269031026,,
2025-08-11 07:00:00-05:00,57.96542616426355,-60.9785305062004,,
2025-08-11 07:10:00-05:00,60.177808732803115,-58.834232751239796,,
2025-08-11 07:20:00-05:00,62.08497274403108,-56.645160464307224,,
2025-08-11 07:30:00-05:00,63.73807783298881,-54.419654911904956,,
2025-08-11 07:40:00-05:00,65.17828001425991,-52.164226334794336,,
2025-08-11 07:50:00-05:00,66.43877466522365,-49.88400699105395,,
2025-08-11 08:00:00-05:00,67.5464525202857,-47.58308408763173,,
2025-08-11 08:10:00-05:00,68.52321109801893,-45.26474540403083,,
2025-08-11 08:20:00-05:00,69.38698179193187,-42.93166168275394,,
2025-08-11 08:30:00-05:00,70.15253088211638,-40.58602314395472,,
2025-08-11 08:40:00-05:00,70.83208412770036,-38.22964255728729,,
2025-08-11 08:50:00-05:00,71.43581489176886,-35.86403377335452,,
2025-08-11 09:00:00-05:00,71.97222701232207,-33.49047211112577,,
2025-08-11 09:10:00-05:00,72.44845644051873,-31.11004122327512,,
2025-08-11 09:20:00-05:00,72.8705099996515,-28.723669802773017,,
2025-08-11 09:30:00-05:00,73.2434552535352,-26.332160597522773,,
2025-08-11 09:40:00-05:00,73.57157214471438,-23.93621355740885,,
2025-08-11 09:50:00-05:00,73.8584745492923,-21.5364444749286,,
2025-08-11 10:00:00-05:00,74.10720798206448,-19.133400144044785,,
2025-08-11 10:10:00-05:00,74.32032824215923,-16.727570815976577,,
2025-08-11 10:20:00-05:00,74.49996468604621,-14.319400549630899,,
2025-08-11 10:30:00-05:00,74.64787097036287,-11.909295920483927,,
2025-08-11 10:40:00-05:00,74.76546545460612,-9.49763345229212,,
2025-08-11 10:50:00-05:00,74.85386294451625,-7.0847660620800355,,
2025-08-11 11:00:00-05:00,74.9138990552615,-4.671028753920197,,
2025-08-11 11:10:00-05:00,74.9461481463887,-2.256743757044788,,
2025-08-11 11:20:00-05:00,74.9509355183057,0.1577747255793298,89.83662206684205,-15.049006075384822
2025-08-11 11:30:00-05:00,74.92834432807578,2.572216011408017,87.33628099514345,-15.056110563017306
2025-08-11 11:40:00-05:00,74.87821748466227,4.986268540877575,84.83583205093572,-15.063196227634721
2025-08-11 11:50:00-05:00,74.80015459696158,7.399615459406988,82.3352754607698,-15.070245615125419
2025-08-11 12:00:00-05:00,74.69350386654763,9.811930049059413,79.83461165753141,-15.077241337852689
2025-08-11 12:10:00-05:00,74.55734862970132,12.222870872876442,77.33384128037754,-15.08416610780041
2025-08-11 12:20:00-05:00,74.39048804931663,14.632076480786125,74.83296517428123,-15.091002769682934
2025-08-11 12:30:00-05:00,74.1914112261987,17.039159504201322,72.33198438906133,-15.097734333129864
2025-08-11 12:40:00-05:00,73.9582637220097,19.443699934305116,69.83090017819038,-15.10434400596216
2025-08-11 12:50:00-05:00,73.68880515726076,21.84523733652236,67.32971399697985,-15.110815225708743
2025-08-11 13:00:00-05:00,73.38035612746901,24.243261693797834,64.82842750043962,-15.117131691407973
2025-08-11 13:10:00-05:00,73.02973215827127,26.637202492725706,62.32704254069006,-15.123277394768069
2025-08-11 13:20:00-05:00,72.63316174630494,29.026415560133707,59.82556116394942,-15.12923665080245
2025-08-11 13:30:00-05:00,72.18618466270053,31.41016701491879,57.32398560709478,-15.134994127846264
2025-08-11 13:40:00-05:00,71.68352556260844,33.78761350704942,54.822318293802105,-15.140534876916764
2025-08-11 13:50:00-05:00,71.11893646028999,36.15777765378148,52.32056183028753,-15.14584436049267
2025-08-11 14:00:00-05:00,70.484999681943,38.519517225792654,49.81871900053584,-15.150908479818984
2025-08-11 14:10:00-05:00,69.77288034451882,40.87148614320978,47.31679276132243,-15.15571360277767
2025-08-11 14:20:00-05:00,68.97201405889473,43.2120846625482,44.814786236637346,-15.160246589485748
2025-08-11 14:30:00-05:00,68.06971118628749,45.53939518658333,42.31270271181869,-15.164494817641748
2025-08-11 14:40:00-05:00,67.05065339432673,47.85109880463045,39.81054562728849,-15.168446206768138
2025-08-11 14:50:00-05:00,65.89625132068116,50.14436581035867,37.308318571919834,-15.17208924140862
2025-08-11 15:00:00-05:00,64.58382402606148,52.41571083410772,34.80602527605077,-15.17541299325022
2025-08-11 15:10:00-05:00,63.08555253753826,54.660799582843936,32.30366960415773,-15.178407142133075
2025-08-11 15:20:00-05:00,61.367153902179766,56.87418916505762,29.801255547223654,-15.181061996023551
2025-08-11 15:30:00-05:00,59.386225597923044,59.048977279763704,27.298787214699544,-15.183368509099216
2025-08-11 15:40:00-05:00,57.09023831042914,61.17632714797567,24.796268826373677,-15.185318299987628
2025-08-11 15:50:00-05:00,54.414241004626874,63.244825960491944,22.293704703770388,-15.186903667331922
2025-08-11 16:00:00-05:00,51.2785524448374,65.23962854986809,19.791099261397076,-15.188117604756313
2025-08-11 16:10:00-05:00,47.587171546336975,67.1413453776592,17.288456997739637,-15.188953814351928
2025-08-11 16:20:00-05:00,43.228542218859985,68.92467943480068,14.785782486048165,-15.189406718800658
2025-08-11 16:30:00-05:00,38.08186471970626,70.5569507864928,12.283080364936183,-15.189471472121738
